Name,Group,Stream URL,Logo,EPG
AST TV 1 (18+),,https://www.ast.tv/stream/1/cellular.m3u8,,
AST TV 1 HD 720 (18+),,https://www.ast.tv/stream/1/high.m3u8,,
AST TV 2 (18+),,https://www.ast.tv/stream/2/cellular.m3u8,,
AST TV 2 HD (18+),,https://www.ast.tv/stream/2/ultra.m3u8,,
AST TV 2 HD 720 (18+),,https://www.ast.tv/stream/2/high.m3u8,,
Balkan Erotic (18+),,http://primestreams.tv:826/jamesfamily/jamesfamily/93698,,
Bang U (18+),,http://primestreams.tv:826/jamesfamily/jamesfamily/93697,,
Bangerz (18+),,http://primestreams.tv:826/jamesfamily/jamesfamily/93696,,
Barely Legal (18+),,http://194.113.104.145/play/916/index.m3u8?auth=iptviptv53:iptv2019,,
Beate Uhse HD (18+),,http://primestreams.tv:826/jamesfamily/jamesfamily/93694,,
Big Ass HD 720 (18+),,http://nruxmzi.ojswi5dsmftgm2ldfz4hs6q.cmle.ru/bigass.m3u8,,
Big Dick HD 720 (18+),,http://nruxmzi.ojswi5dsmftgm2ldfz4hs6q.cmle.ru/bigdick.m3u8,,
Big Tits HD 720 (18+),,http://nruxmzi.ojswi5dsmftgm2ldfz4hs6q.cmle.ru/bigtits.m3u8,,
Blowjob HD 720 (18+),,http://nruxmzi.ojswi5dsmftgm2ldfz4hs6q.cmle.ru/blowjob.m3u8,,
Blue Hustler (18+),,http://81.182.131.186:9000/stream/channelid/612480382,,
Brazzers Europe (18+),,http://194.113.104.145/play/908/index.m3u8?auth=iptviptv53:iptv2019,,
Brazzers Europe (18+) (UDP),,http://37.193.92.155:81/udp/239.1.20.64:1234,,
Brazzers USA HD 720 (18+),,http://lucky.lts1.net:23000/live/Mandi/Mandi01/18337.ts,,
Candy HD (18+),,http://194.113.104.145/play/904/index.m3u8?auth=iptviptv53:iptv2019,,
Cuckold HD 720 (18+),,http://nruxmzi.ojswi5dsmftgm2ldfz4hs6q.cmle.ru/cuckold.m3u8,,
Dorcel TV HD (18+),,http://194.113.104.145/play/905/index.m3u8?auth=iptviptv53:iptv2019,,
Dorcel XXX HD (18+),,http://primestreams.tv:826/jamesfamily/jamesfamily/93688,,
Dream Porn HD (18+),,http://primestreams.tv:826/jamesfamily/jamesfamily/93687,,
Dusk (18+),,http://proxtv7.dyndns.tv:25461/qOq4B53joE/BfHKDoWVR9/6407,,
Emanuelle (18+),,http://primestreams.tv:826/jamesfamily/jamesfamily/93685,,
Ero XXX HD (18+),,http://full.genesis11.me:8000/live/vi1RWn5GfN/ygZKqbRWyI/69805.ts,,
Erotic 1 (18+),,http://primestreams.tv:826/jamesfamily/jamesfamily/93659,,
Erotic 2 (18+),,http://primestreams.tv:826/jamesfamily/jamesfamily/93658,,
Erotic 3 (18+),,http://primestreams.tv:826/jamesfamily/jamesfamily/93657,,
Erotic 4 (18+),,http://149.56.25.205:25461/01923/01923/26595,,
Erotic 5 (18+),,http://primestreams.tv:826/jamesfamily/jamesfamily/93655,,
Erotic 6 (18+),,http://primestreams.tv:826/jamesfamily/jamesfamily/93654,,
Erotic 7 (18+),,http://149.56.25.205:25461/01923/01923/26598,,
Erotic 8 (18+),,http://149.56.25.205:25461/01923/01923/26599,,
Erox (18+) (UDP),,http://37.193.92.155:81/udp/239.1.20.60:1234,,
Erox HD (18+),,http://primestreams.tv:826/jamesfamily/jamesfamily/93684,,
Evil Angel HD (18+),,http://whiteshark.duckdns.org:80/live/pippofinland/cinziaavellino/48376.ts,,
Fake Agent HD 720 (18+),,http://nl01.spr24.net/2142/mono.m3u8?token=amq7iK77DYAKau,,
Fake Taxi HD 720 (18+),,http://full.genesis11.me:8000/live/vi1RWn5GfN/ygZKqbRWyI/66747.ts,,
Fetish HD 720 (18+),,http://nruxmzi.ojswi5dsmftgm2ldfz4hs6q.cmle.ru/fetish.m3u8,,
Free X TV HD 720 (18+),,http://primestreams.tv:826/jamesfamily/jamesfamily/93679,,
French Lover (18+),,http://78.29.1.66/live/frenchlover/copy/playlist.m3u8,,
French Lover (18+) (UDP),,http://5.59.236.161:81/udp/239.72.4.54:1234,,
